run_id,status,split,kind,ordinal,model,session_name,video_path,labels_path,duration_s,runtime_s,buffer_s,prediction_rows,active_video_model,resolved_model_name,result_dir,started_at_iso,ended_at_iso,error
calibration_fake_only_01__efficientnet_b4,success,calibration,fake_only,1,efficientnet_b4,calibration_fake_only_01__efficientnet_b4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_fake_only_01.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_fake_only_01_labels.csv,599.967,599.967,15.0,3679,efficientnet_b4,EfficientNet-B4 DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_fake_only_01__efficientnet_b4,2026-04-14T23:09:39Z,2026-04-14T23:20:12Z,
calibration_fake_only_01__effort_clip_l14,success,calibration,fake_only,1,effort_clip_l14,calibration_fake_only_01__effort_clip_l14,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_fake_only_01.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_fake_only_01_labels.csv,599.967,599.967,15.0,4655,effort_clip_l14,Effort CLIP-L14,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_fake_only_01__effort_clip_l14,2026-04-14T22:58:59Z,2026-04-14T23:09:39Z,
calibration_fake_only_01__f3net,success,calibration,fake_only,1,f3net,calibration_fake_only_01__f3net,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_fake_only_01.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_fake_only_01_labels.csv,599.967,599.967,15.0,3918,f3net,F3Net DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_fake_only_01__f3net,2026-04-14T23:20:12Z,2026-04-14T23:30:46Z,
calibration_fake_only_01__i3d,success,calibration,fake_only,1,i3d,calibration_fake_only_01__i3d,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_fake_only_01.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_fake_only_01_labels.csv,599.967,599.967,15.0,3756,i3d,I3D DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_fake_only_01__i3d,2026-04-14T23:30:47Z,2026-04-14T23:41:20Z,
calibration_fake_only_01__videomae,success,calibration,fake_only,1,videomae,calibration_fake_only_01__videomae,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_fake_only_01.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_fake_only_01_labels.csv,599.967,599.967,15.0,3203,videomae,VideoMAE DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_fake_only_01__videomae,2026-04-14T23:41:20Z,2026-04-14T23:51:55Z,
calibration_fake_only_01__xception_df40,success,calibration,fake_only,1,xception_df40,calibration_fake_only_01__xception_df40,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_fake_only_01.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_fake_only_01_labels.csv,599.967,599.967,15.0,6066,xception_df40,Xception DF40,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_fake_only_01__xception_df40,2026-04-14T22:48:21Z,2026-04-14T22:58:59Z,
calibration_fake_only_02__efficientnet_b4,success,calibration,fake_only,2,efficientnet_b4,calibration_fake_only_02__efficientnet_b4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_fake_only_02.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_fake_only_02_labels.csv,600.333,600.333,15.0,2394,efficientnet_b4,EfficientNet-B4 DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_fake_only_02__efficientnet_b4,2026-04-15T00:13:03Z,2026-04-15T00:23:38Z,
calibration_fake_only_02__effort_clip_l14,success,calibration,fake_only,2,effort_clip_l14,calibration_fake_only_02__effort_clip_l14,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_fake_only_02.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_fake_only_02_labels.csv,600.333,600.333,15.0,3241,effort_clip_l14,Effort CLIP-L14,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_fake_only_02__effort_clip_l14,2026-04-15T00:02:27Z,2026-04-15T00:13:03Z,
calibration_fake_only_02__f3net,success,calibration,fake_only,2,f3net,calibration_fake_only_02__f3net,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_fake_only_02.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_fake_only_02_labels.csv,600.333,600.333,15.0,3423,f3net,F3Net DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_fake_only_02__f3net,2026-04-15T00:23:38Z,2026-04-15T00:34:10Z,
calibration_fake_only_02__i3d,success,calibration,fake_only,2,i3d,calibration_fake_only_02__i3d,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_fake_only_02.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_fake_only_02_labels.csv,600.333,600.333,15.0,2856,i3d,I3D DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_fake_only_02__i3d,2026-04-15T00:34:10Z,2026-04-15T00:44:43Z,
